CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST0001,25,10,12712.78,5,4,4,544,13,Champions / Loyal
CUST0002,285,5,5286.96,1,2,2,122,5,Churned
CUST0003,119,5,4974.02,3,2,2,322,7,Others
CUST0004,30,1,324.09,4,1,1,411,6,New Customers
CUST0005,48,6,6530.15,4,3,3,433,10,Potential Loyalist
CUST0006,32,12,15401.37,4,4,4,444,12,Champions / Loyal
CUST0007,4,29,89877.34,5,5,5,555,15,Champions / Loyal
CUST0008,335,5,5632.29,1,2,2,122,5,Churned
CUST0009,150,4,3883.14,3,2,2,322,7,Others
CUST0010,138,6,7201.37,3,3,3,333,9,Needs Attention
CUST0011,9,24,80607.07,5,5,5,555,15,Champions / Loyal
CUST0012,252,1,563.83,2,1,1,211,4,Churned
CUST0013,312,5,6133.15,1,2,3,123,6,Cannot Lose Them
CUST0014,112,6,6160.03,3,3,3,333,9,Needs Attention
CUST0015,74,10,12623.23,3,4,4,344,11,Needs Attention
CUST0016,61,11,15919.64,4,4,4,444,12,Champions / Loyal
CUST0017,21,12,15489.64,5,4,4,544,13,Champions / Loyal
CUST0018,196,2,2000.31,2,1,1,211,4,Churned
CUST0019,148,8,11416.61,3,3,4,334,10,Needs Attention
CUST0020,29,6,8116.54,5,3,3,533,11,Potential Loyalist
CUST0021,183,8,10214.83,2,3,3,233,8,Others
CUST0022,21,23,62924.51,5,5,5,555,15,Champions / Loyal
CUST0023,55,8,16707.0,4,3,4,434,11,Potential Loyalist
CUST0024,48,10,13986.78,4,4,4,444,12,Champions / Loyal
CUST0025,123,2,2069.85,3,1,2,312,6,Others
CUST0026,129,7,8004.83,3,3,3,333,9,Needs Attention
CUST0027,38,11,16314.88,4,4,4,444,12,Champions / Loyal
CUST0028,223,1,1478.8,2,1,1,211,4,Churned
CUST0029,22,1,1384.47,5,1,1,511,7,New Customers
CUST0030,9,16,38384.18,5,5,5,555,15,Champions / Loyal
CUST0031,106,9,8601.02,3,4,3,343,10,Needs Attention
CUST0032,83,11,17611.75,3,4,4,344,11,Needs Attention
CUST0033,14,27,64688.0,5,5,5,555,15,Champions / Loyal
CUST0034,345,1,604.01,1,1,1,111,3,Churned
CUST0035,229,2,1925.13,2,1,1,211,4,Churned
CUST0036,340,5,5596.69,1,2,2,122,5,Churned
CUST0037,41,8,11948.28,4,3,4,434,11,Potential Loyalist
CUST0038,16,15,45372.44,5,5,5,555,15,Champions / Loyal
CUST0039,170,4,3973.48,2,2,2,222,6,Churned
CUST0040,30,11,13721.28,4,4,4,444,12,Champions / Loyal
CUST0041,9,29,87590.51,5,5,5,555,15,Champions / Loyal
CUST0042,202,1,1394.84,2,1,1,211,4,Churned
CUST0043,1,26,72024.59,5,5,5,555,15,Champions / Loyal
CUST0044,337,4,2942.19,1,2,2,122,5,Churned
CUST0045,32,6,7372.81,4,3,3,433,10,Potential Loyalist
CUST0046,117,5,6374.43,3,2,3,323,8,Others
CUST0047,43,10,18190.11,4,4,4,444,12,Champions / Loyal
CUST0048,88,2,1697.58,3,1,1,311,5,Others
CUST0049,282,1,1238.86,1,1,1,111,3,Churned
CUST0050,102,10,13629.85,3,4,4,344,11,Needs Attention
CUST0051,310,4,2721.68,1,2,2,122,5,Churned
CUST0052,151,8,11244.47,2,3,4,234,9,Others
CUST0053,338,3,2207.75,1,2,2,122,5,Churned
CUST0054,311,3,2321.14,1,2,2,122,5,Churned
CUST0055,85,2,2159.15,3,1,2,312,6,Others
CUST0056,341,4,3289.4,1,2,2,122,5,Churned
CUST0057,26,24,66142.12,5,5,5,555,15,Champions / Loyal
CUST0058,66,13,20247.86,4,4,5,445,13,Champions / Loyal
CUST0059,14,18,50901.26,5,5,5,555,15,Champions / Loyal
CUST0060,22,7,13654.16,5,3,4,534,12,Potential Loyalist
CUST0061,29,8,12303.07,5,3,4,534,12,Potential Loyalist
CUST0062,27,11,13567.46,5,4,4,544,13,Champions / Loyal
CUST0063,257,3,1261.28,2,2,1,221,5,Churned
CUST0064,32,12,16654.52,4,4,4,444,12,Champions / Loyal
CUST0065,82,11,14839.58,3,4,4,344,11,Needs Attention
CUST0066,35,2,1771.66,4,1,1,411,6,New Customers
CUST0067,16,17,52297.6,5,5,5,555,15,Champions / Loyal
